"Year","Armed Police - DG/Addl.DG/IG/DIG","Armed Police - SSP/SP/Addl.SP/ASP/DY.SP","Armed Police - Inspectors/Sub-Inspectors and A.S.I","Armed Police - Officers below A.S.I","Armed Police - Total","Civil Police - DG/Addl.DG/IG/DIG","Civil Police - SSP/SP/Addl.SP/ASP/DY.SP","Civil Police - Inspectors/Sub-Inspectors and A.S.I","Civil Police - Officers below A.S.I","Civil Police - Total"
"2001","70","1681","15721","268267","285739","970","8237","143940","912926","1030969"
"2002","66","1643","16227","275619","293555","1123","8259","140252","865782","1015416"
"2003","70","1681","15721","268267","285739","1027","8000","142563","874187","1025777"
"2004","59","1674","16615","275991","294339","996","7887","147773","886188","1042844"
"2005","66","1631","17674","276912","296283","1080","8514","151799","885182","1046575"
"2006","64","1687","19486","292885","314122","1091","8628","155170","927010","1091899"
"2007","72","1722","21686","305883","329363","1165","8712","151371","934570","1095818"
"2008","86","2123","21517","317667","341393","1168","8999","158529","963506","1132202"
"2009","108","1891","21524","318924","342447","1177","9913","163128","1040832","1215050"
"2010","77","2044","22527","332344","356992","1310","9753","166746","1045510","1223319"
